state,metric,stand_size_class,estimate,se,se_percent,plot_count,report_years
AL,volume,Large diameter,51845258997.66891,795313074.0754288,1.5340131179809289,2722,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,volume,Medium diameter,12210299688.856482,371115199.49996734,3.039361923595202,1284,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,volume,Small diameter,1257214921.5756738,68801153.6254958,5.472505332601921,644,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,volume,Nonstocked,13646797.40535599,6336098.878967951,46.42920013219518,17,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,mortality,Large diameter,552194220.1476932,18051083.37483078,3.268973617652631,1942,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,mortality,Medium diameter,101804845.54007334,6795869.837139246,6.6753893698156,610,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,mortality,Small diameter,54238012.37978829,7095911.915166963,13.082912894151782,217,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,mortality,Nonstocked,4829047.88199153,2370576.791512947,49.08994173268181,10,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,biomass,Large diameter,1019927149.3768831,15349780.669412017,1.5049879473048489,2723,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,biomass,Medium diameter,251013935.2343264,7441653.342170507,2.964637535053016,1285,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,biomass,Small diameter,43334245.122850224,2135396.850739688,4.927735200384718,809,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,biomass,Nonstocked,307019.4618230697,120589.03078508978,39.27732465852059,21,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,growth,Large diameter,1830696318.787261,40403255.39081458,2.2069883997789206,2704,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,growth,Medium diameter,1017632179.358988,34683518.89474461,3.408256892641892,1278,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,growth,Small diameter,239251168.7918924,12527219.791605176,5.236011951315363,915,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,growth,Nonstocked,6713741.040697848,2390661.3434147234,35.608483093447255,45,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,removals,Large diameter,365639454.318196,24055175.0659178,6.57893309428908,441,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,removals,Medium diameter,89884090.85589705,10593516.285702448,11.785752278104548,141,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,removals,Small diameter,1082619507.6550212,55166278.70822472,5.095629472603552,503,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,removals,Nonstocked,49843559.48647957,11151159.984799596,22.37231871015237,34,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,sawlog,Large diameter,141790695360.14813,2644382743.479887,1.86499032024856,2632,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,sawlog,Medium diameter,10586669734.244904,426339982.7684661,4.027139728269562,963,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,sawlog,Small diameter,1370700168.5949025,152477977.75373572,11.124094185385568,177,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,sawlog,Nonstocked,36395790.20767458,29772542.499507315,81.80215989163864,3,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,area,Large diameter,12988867.26427672,167978.94392210842,1.2932532183472296,2733,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,area,Medium diameter,5545564.37821097,148936.78401978954,2.6856920930352155,1295,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,area,Small diameter,4290724.344712418,134693.27757745574,3.139173406547128,982,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AL,area,Nonstocked,138804.2067198686,22305.13699900769,16.069496397917817,59,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AR,volume,Large diameter,42724601717.847176,669932611.4519906,1.5680254104560616,2449,2021;2022;2023;2024;2025
AR,volume,Medium diameter,8393460059.4027,288754880.76213616,3.440236549867906,1027,2021;2022;2023;2024;2025
AR,volume,Small diameter,577087800.4475975,46050520.94280326,7.979811894669377,306,2021;2022;2023;2024;2025
AR,volume,Nonstocked,8203834.044136289,2552840.586790668,31.11765271038506,18,2021;2022;2023;2024;2025
AR,mortality,Large diameter,422745615.27914697,19009213.54135292,4.496608091085881,1412,2021;2022;2023;2024;2025
AR,mortality,Medium diameter,69404194.43894587,6267895.782348084,9.031004297387076,432,2021;2022;2023;2024;2025
AR,mortality,Small diameter,18847928.549125567,5226672.04852533,27.73075054323578,54,2021;2022;2023;2024;2025
AR,mortality,Nonstocked,299311.16111522936,203595.6756595268,68.02141119660625,3,2021;2022;2023;2024;2025
AR,biomass,Large diameter,885539781.6303272,13100101.874520326,1.4793352197461216,2451,2021;2022;2023;2024;2025
AR,biomass,Medium diameter,186264343.8119965,6187639.932090682,3.321966945179856,1028,2021;2022;2023;2024;2025
AR,biomass,Small diameter,20702563.45581921,1485712.0433037702,7.1764641440389205,415,2021;2022;2023;2024;2025
AR,biomass,Nonstocked,176842.62365322083,53582.4081108726,30.29948719599688,19,2021;2022;2023;2024;2025
AR,growth,Large diameter,1230979296.2947729,34946859.16016625,2.838947760157763,2432,2021;2022;2023;2024;2025
AR,growth,Medium diameter,619892067.1314135,27399200.307666067,4.419995312160947,1021,2021;2022;2023;2024;2025
AR,growth,Small diameter,79683577.03881362,7504801.124491471,9.418253300596566,405,2021;2022;2023;2024;2025
AR,growth,Nonstocked,5747147.992581312,2267081.721175616,39.447073993954426,30,2021;2022;2023;2024;2025
AR,removals,Large diameter,355475028.50374794,28359703.891529664,7.977973589565562,275,2021;2022;2023;2024;2025
AR,removals,Medium diameter,48218643.02972636,9106880.684553552,18.88663826341866,71,2021;2022;2023;2024;2025
AR,removals,Small diameter,491675088.1493471,46026637.462160654,9.3611896497347,159,2021;2022;2023;2024;2025
AR,removals,Nonstocked,40025685.62143592,13232188.991894906,33.059243799207664,15,2021;2022;2023;2024;2025
AR,sawlog,Large diameter,132999405389.62337,2565485347.740002,1.92894497552405,2386,2021;2022;2023;2024;2025
AR,sawlog,Medium diameter,8175698409.844535,372561449.8886559,4.556937294067093,777,2021;2022;2023;2024;2025
AR,sawlog,Small diameter,862908206.9304966,122212647.18694676,14.162879226943137,106,2021;2022;2023;2024;2025
AR,sawlog,Nonstocked,2357954.4036872867,2357629.385862268,99.98621611068856,1,2021;2022;2023;2024;2025
AR,area,Large diameter,12109512.33473598,148486.34380759523,1.2261959004052052,2468,2021;2022;2023;2024;2025
AR,area,Medium diameter,4496578.51812983,134360.95195471804,2.988070850158312,1045,2021;2022;2023;2024;2025
AR,area,Small diameter,2093269.851245284,96217.42712193876,4.596513300217797,511,2021;2022;2023;2024;2025
AR,area,Nonstocked,143638.19208891992,23891.34194841015,16.63300101523145,49,2021;2022;2023;2024;2025
AZ,volume,Large diameter,16050107497.301136,336278465.15517026,2.0951788965383336,2577,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,volume,Medium diameter,580096909.7781247,59496992.8748662,10.256388522673324,274,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,volume,Small diameter,148280762.73244062,21670633.71440964,14.614595524783184,215,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,volume,Nonstocked,49753759.88771585,11086350.66720059,22.282437934781683,104,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,mortality,Large diameter,134068943.84818904,8805225.855265133,6.567684955611792,995,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,mortality,Medium diameter,6627947.719204395,1564558.829262246,23.60547933606894,92,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,mortality,Small diameter,29838794.32882726,7058031.471259712,23.653876203841616,73,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,mortality,Nonstocked,36002936.85316361,8643125.335424436,24.006723036720707,68,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,biomass,Large diameter,285632716.5407238,5588589.549393524,1.9565649261318905,2577,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,biomass,Medium diameter,13812966.635158086,1294501.4886239942,9.371639871547254,274,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,biomass,Small diameter,4696929.912079715,482587.0077000258,10.274520095752186,248,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,biomass,Nonstocked,928108.9734198636,170528.56603439362,18.37376546485009,104,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,growth,Large diameter,82686271.73444687,8720241.197739558,10.546177756986388,2542,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,growth,Medium diameter,6546812.500163793,1556571.924111678,23.77602725101314,266,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,growth,Small diameter,-23242212.24091821,6510071.7525927685,-28.00969066589841,228,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,growth,Nonstocked,-31631529.88163121,7930278.101677744,-25.0708016063521,138,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,removals,Large diameter,20545665.65654437,4619639.415788354,22.484739569958247,93,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,removals,Medium diameter,31071.68757221857,19863.43529932569,63.92776463511349,4,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,removals,Small diameter,1704873.8524406336,1140231.052480995,66.8806698424451,5,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,removals,Nonstocked,5988026.062148414,2845026.7933277963,47.51193070637778,6,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,sawlog,Large diameter,32243881587.37688,1289833797.2436666,4.0002435617076015,684,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,sawlog,Medium diameter,506051996.0160637,112481470.78366823,22.227255631671834,47,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,sawlog,Small diameter,294727980.12877953,77000425.94054247,26.1259300548586,31,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,sawlog,Nonstocked,144043615.86286172,48134299.765022,33.4164756116986,14,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,area,Large diameter,14734224.259564754,176429.51376484535,1.1974129798541362,2577,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,area,Medium diameter,1548912.8614708805,93032.76092360436,6.006326323306431,275,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,area,Small diameter,1568666.044734347,92535.07298929455,5.898965767756217,270,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AZ,area,Nonstocked,1032061.9494465146,73855.89577794443,7.156149475092331,205,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
CA,volume,Large diameter,115942703059.53554,1770822660.1561327,1.527325664683556,3958,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,volume,Medium diameter,5347274127.149016,278190571.53057283,5.202474474202701,719,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,volume,Small diameter,1226887484.1722727,92977128.25468823,7.5782929937879215,427,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,volume,Nonstocked,188380172.7531957,35394078.88984413,18.788643397315123,98,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,mortality,Large diameter,1243525197.7216527,41031069.16878577,3.299576819509696,2433,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,mortality,Medium diameter,62606870.87582248,5519770.643040895,8.816557297663188,348,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,mortality,Small diameter,400191051.36022216,39821205.18380381,9.950548631323525,309,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,mortality,Nonstocked,364944544.071677,40161307.8746827,11.004770047143056,187,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,biomass,Large diameter,1955738436.28954,27125957.83580048,1.3869931342794648,3958,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,biomass,Medium diameter,120903934.60053296,6003150.125603053,4.965223129782735,722,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,biomass,Small diameter,29825936.427895,2010507.3652191465,6.740802154123816,519,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,biomass,Nonstocked,3276948.5594333983,638727.8611323157,19.49154371964737,99,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,growth,Large diameter,785829394.687583,46181806.68938022,5.87682351940276,3721,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,growth,Medium diameter,73346078.66901241,8499579.779102005,11.588322011675515,634,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,growth,Small diameter,-314428491.23312616,36467749.36257158,-11.598105890325748,512,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,growth,Nonstocked,-323750407.5567218,37287773.58169009,-11.517444522492898,242,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,removals,Large diameter,287932954.31742245,23864898.7557712,8.288352686946041,325,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,removals,Medium diameter,13321053.716854144,4710676.737765114,35.362643510738515,26,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,removals,Small diameter,173954314.93604288,29582233.62685255,17.005748686216226,74,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,removals,Nonstocked,46950296.08475536,10581995.139033329,22.538718648186062,40,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,sawlog,Large diameter,504742004619.0254,9143106277.939363,1.8114415274077489,3729,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,sawlog,Medium diameter,9640906033.637146,711283186.1649543,7.377762875016989,543,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,sawlog,Small diameter,3993638915.9550776,405854705.2842458,10.162528807068822,281,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CA,sawlog,Nonstocked,777131189.6334172,183795704.46471483,23.65053763334524,78,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
